# BUSCO version is: 5.4.3 
# The lineage dataset is:  (Creation date: 2020-09-10, number of genomes: 31, number of BUSCOs: 2326)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
2at71240	Complete	ST4.03ch04	61731072	61784121	-	5602.9	4116
10at71240	Complete	ST4.03ch02	45282331	45305049	-	6723.1	3829
17at71240	Complete	ST4.03ch02	8883458	8941369	-	6694.3	3910
86at71240	Complete	ST4.03ch01	85333273	85354073	+	5229.1	3121
204at71240	Complete	ST4.03ch04	46785467	46832215	+	3826.3	2182
224at71240	Complete	ST4.03ch01	73655028	73675833	-	2765.8	1841
265at71240	Complete	ST4.03ch03	62162114	62185694	+	2667.9	1616
312at71240	Complete	ST4.03ch08	42737246	42809939	-	3437.0	2038
355at71240	Complete	ST4.03ch08	21879324	21932465	+	4311.1	2145
368at71240	Complete	ST4.03ch02	41014089	41047817	+	2617.4	1625
383at71240	Complete	ST4.03ch03	25131480	25147157	+	2711.2	1679
491at71240	Complete	ST4.03ch03	38235597	38263368	+	2234.4	1691
526at71240	Complete	ST4.03ch04	10366407	10395137	+	2759.1	1529
561at71240	Complete	ST4.03ch08	45352612	45387004	-	2857.6	1611
597at71240	Complete	ST4.03ch10	314509	336378	-	2854.7	1534
640at71240	Complete	ST4.03ch12	5729329	5768756	+	2698.4	1612
703at71240	Complete	ST4.03ch03	23701706	23755311	+	2675.6	1527
707at71240	Complete	ST4.03ch08	9087128	9152858	-	2971.9	1488
727at71240	Complete	ST4.03ch02	29989103	29996901	-	2505.6	1594
745at71240	Complete	ST4.03ch03	13871984	13967050	-	2781.2	1648
769at71240	Complete	ST4.03ch08	42882316	42919450	+	2885.9	1612
779at71240	Complete	ST4.03ch08	37493387	37512493	-	2070.4	1314
793at71240	Complete	ST4.03ch03	50200658	50225105	+	2333.7	1726
836at71240	Complete	ST4.03ch04	62381223	62391054	+	1866.5	1734
851at71240	Complete	ST4.03ch03	27868116	27886808	-	2315.4	1386
906at71240	Complete	ST4.03ch04	6991548	7002032	-	1690.1	1466
916at71240	Duplicated	ST4.03ch01	1828378	1914059	-	1814.2	1362
916at71240	Duplicated	ST4.03ch01	66901990	66929076	-	1857.2	1326
916at71240	Duplicated	ST4.03ch02	33992448	33997655	-	1612.4	1520
933at71240	Complete	ST4.03ch01	80693470	80720621	-	2245.0	1324
945at71240	Complete	ST4.03ch07	55979757	55999891	-	2795.9	1552
1064at71240	Complete	ST4.03ch05	17954522	18011621	-	2372.8	1415
1065at71240	Complete	ST4.03ch01	84561663	84585480	+	1728.1	1327
1115at71240	Complete	ST4.03ch08	54723309	54747756	-	2328.1	1597
1147at71240	Complete	ST4.03ch08	50999014	51026591	+	2074.4	1464
1158at71240	Complete	ST4.03ch09	40400576	40417018	+	2117.3	1374
1159at71240	Complete	ST4.03ch10	46399971	46410977	+	1796.6	1433
1162at71240	Complete	ST4.03ch01	75041109	75054518	-	2658.8	1499
1185at71240	Complete	ST4.03ch03	36007127	36037364	-	2074.7	1313
1212at71240	Complete	ST4.03ch06	52699985	52763381	-	2427.5	1373
1291at71240	Missing
1308at71240	Complete	ST4.03ch01	63664258	63682517	+	2240.1	1107
1357at71240	Complete	ST4.03ch05	42167679	42199746	-	1902.9	1309
1506at71240	Complete	ST4.03ch04	8044565	8053591	-	2347.9	1209
1526at71240	Complete	ST4.03ch02	27560752	27581653	-	2185.7	1158
1566at71240	Complete	ST4.03ch03	40900033	40954129	+	2048.3	1173
1578at71240	Complete	ST4.03ch12	60457522	60478823	+	2225.0	1312
1589at71240	Complete	ST4.03ch04	10137836	10143539	-	2553.2	1201
1604at71240	Complete	ST4.03ch07	52936868	52944891	+	1817.9	1042
1674at71240	Complete	ST4.03ch01	79248168	79271201	-	1756.7	1221
1722at71240	Complete	ST4.03ch04	70503328	70515239	-	1885.6	1095
1950at71240	Complete	ST4.03ch07	212706	256497	-	2087.5	1282
2018at71240	Complete	ST4.03ch08	55290677	55299462	-	1659.4	1107
2045at71240	Complete	ST4.03ch11	10136521	10193898	+	2062.7	1111
2065at71240	Complete	ST4.03ch10	57327722	57340536	+	1905.2	1116
2073at71240	Complete	ST4.03ch02	47328644	47342660	-	2199.1	1547
2143at71240	Complete	ST4.03ch03	12247191	12251392	-	2074.1	1156
2268at71240	Complete	ST4.03ch03	46789131	46795083	-	2258.4	1226
2327at71240	Complete	ST4.03ch01	70159552	70174774	+	1758.4	1051
2360at71240	Complete	ST4.03ch05	50387035	50393376	+	1787.7	1053
2395at71240	Complete	ST4.03ch12	59807340	59817517	-	2166.6	1327
2400at71240	Complete	ST4.03ch07	44395562	44402615	-	1557.6	970
2421at71240	Complete	ST4.03ch06	45846952	45862975	-	1987.6	1041
2430at71240	Complete	ST4.03ch03	58273467	58295100	+	1975.6	1128
2474at71240	Complete	ST4.03ch04	53831823	53840752	+	1878.9	1070
2499at71240	Complete	ST4.03ch02	41644389	41664728	-	1951.4	1110
2529at71240	Complete	ST4.03ch03	46841207	46852408	-	1806.5	1043
2585at71240	Complete	ST4.03ch06	46491419	46523640	-	1686.4	1094
2753at71240	Complete	ST4.03ch03	57342914	57364157	+	1876.4	1186
2869at71240	Complete	ST4.03ch01	57797411	57804976	-	1486.1	923
2873at71240	Complete	ST4.03ch04	47719537	47779780	+	1795.4	1082
2884at71240	Complete	ST4.03ch11	7089952	7106932	-	1498.8	1019
2954at71240	Complete	ST4.03ch06	3737610	3823709	+	1943.9	1050
2956at71240	Complete	ST4.03ch03	52607601	52612882	+	2163.4	1154
2984at71240	Complete	ST4.03ch09	8359994	8381397	-	1458.4	934
3053at71240	Complete	ST4.03ch09	1998304	2002107	+	2338.6	1130
3069at71240	Complete	ST4.03ch02	46694962	46700083	+	1808.3	924
3142at71240	Complete	ST4.03ch11	7970510	7978284	+	1937.2	1146
3157at71240	Complete	ST4.03ch02	36209688	36221932	+	1459.5	1192
3166at71240	Complete	ST4.03ch06	55905187	55910555	-	2174.0	1018
3221at71240	Complete	ST4.03ch01	64241532	64254708	+	1113.8	665
3382at71240	Complete	ST4.03ch08	7836312	7862000	-	1737.5	973
3391at71240	Complete	ST4.03ch01	79769883	79784637	+	2193.9	1105
