HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N6.HOG0000000	OG0000002	n20																jl_g7300.t1_1
N6.HOG0000001	OG0000002	n27															W103_g4724.t1_1	jl_g25612.t1_1
N6.HOG0000002	OG0000002	n32																jl_g35552.t1_1
N6.HOG0000003	OG0000002	n49																jl_g8578.t1_1, jl_g15802.t1_1
N6.HOG0000004	OG0000002	n79																jl_g11643.t1_1, jl_g32189.t1_1
N6.HOG0000005	OG0000002	n83																jl_g37002.t1_1
N6.HOG0000006	OG0000002	n91																jl_g26148.t1_1
N6.HOG0000007	OG0000002	n94																jl_g37477.t1_1
N6.HOG0000008	OG0000002	n101																jl_g8414.t1_1
N6.HOG0000009	OG0000002	n145																jl_g8239.t1_1
N6.HOG0000010	OG0000002	n146																jl_g37149.t1_1
N6.HOG0000011	OG0000002	n150																jl_g25661.t1_1
N6.HOG0000012	OG0000002	n163																jl_g9952.t1_1
N6.HOG0000013	OG0000002	n271																jl_g32167.t1_1
N6.HOG0000014	OG0000002	n290																jl_g23268.t1_1
N6.HOG0000015	OG0000002	n303																jl_g36929.t1_1
N6.HOG0000016	OG0000002	n312																jl_g16426.t1_1
N6.HOG0000017	OG0000002	n315																jl_g8013.t1_1
N6.HOG0000018	OG0000002	n321																jl_g63.t1_1
N6.HOG0000019	OG0000002	n337																jl_g18834.t1_1
N6.HOG0000020	OG0000002	n343																jl_g17109.t1_1
N6.HOG0000021	OG0000002	n360																jl_g17431.t1_1
N6.HOG0000022	OG0000002	n387																jl_g25814.t1_1
N6.HOG0000023	OG0000002	n423																jl_g8411.t1_1
N6.HOG0000024	OG0000002	n450																jl_g8644.t1_1
N6.HOG0000025	OG0000002	n467																jl_g35731.t1_1
N6.HOG0000026	OG0000002	n483																jl_g4611.t1_1
N6.HOG0000027	OG0000002	n501																jl_g13818.t1_1, jl_g36298.t1_1
N6.HOG0000028	OG0000002	n659																jl_g17228.t1_1
N6.HOG0000029	OG0000002	n665																jl_g26118.t1_1
N6.HOG0000030	OG0000002	n700																jl_g36967.t1_1
N6.HOG0000031	OG0000002	n709																jl_g4063.t1_1
N6.HOG0000032	OG0000002	n721																jl_g37031.t1_1
N6.HOG0000033	OG0000002	n733																jl_g149.t1_1, jl_g8413.t1_1
N6.HOG0000034	OG0000002	n749																jl_g36873.t1_1
N6.HOG0000035	OG0000002	n751																jl_g4369.t1_1
N6.HOG0000036	OG0000002	n800																jl_g42033.t1_1
N6.HOG0000037	OG0000002	n805																jl_g32100.t1_1
N6.HOG0000038	OG0000002	n818																jl_g17369.t1_1
N6.HOG0000039	OG0000002	n827																jl_g24866.t1_1
N6.HOG0000040	OG0000002	n836																jl_g18967.t1_1
N6.HOG0000041	OG0000002	n852																jl_g36801.t1_1
N6.HOG0000042	OG0000002	n863																jl_g23364.t1_1
N6.HOG0000043	OG0000002	n884																jl_g13859.t1_1
N6.HOG0000044	OG0000002	n894																jl_g22962.t1_1
N6.HOG0000045	OG0000002	n896																jl_g13460.t1_1
N6.HOG0000046	OG0000002	n914																jl_g15801.t1_1
N6.HOG0000047	OG0000002	n942																jl_g232.t1_1
N6.HOG0000048	OG0000002	n945																jl_g23244.t1_1
N6.HOG0000049	OG0000002	n946																jl_g10517.t1_1
N6.HOG0000050	OG0000002	n955																jl_g13808.t1_1
N6.HOG0000051	OG0000002	n956																jl_g17268.t1_1
N6.HOG0000052	OG0000002	n977																jl_g25613.t1_1
N6.HOG0000053	OG0000002	n1012																jl_g4295.t1_1, jl_g240.t1_1
N6.HOG0000054	OG0000002	n1018																jl_g21946.t1_1
N6.HOG0000055	OG0000004	n0															W103_g7049.t1_1	
N6.HOG0000056	OG0000007	n9																jl_g693.t1_1
N6.HOG0000057	OG0000007	n17																jl_g6385.t1_1, jl_g17846.t1_1
N6.HOG0000058	OG0000007	n32																jl_g14231.t1_1
N6.HOG0000059	OG0000007	n40																jl_g38313.t1_1
N6.HOG0000060	OG0000007	n64																jl_g33578.t1_1
N6.HOG0000061	OG0000007	n65																jl_g25120.t1_1
N6.HOG0000062	OG0000007	n69																jl_g7219.t1_1
N6.HOG0000063	OG0000007	n76																jl_g40523.t1_1
N6.HOG0000064	OG0000007	n81																jl_g10027.t1_1
N6.HOG0000065	OG0000007	n84																jl_g5433.t1_1
N6.HOG0000066	OG0000007	n103																jl_g24631.t1_1, jl_g10434.t1_1
N6.HOG0000067	OG0000007	n107																jl_g11105.t1_1
N6.HOG0000068	OG0000007	n110																jl_g7621.t1_1
N6.HOG0000069	OG0000007	n112																jl_g1380.t1_1
N6.HOG0000070	OG0000007	n119																jl_g32279.t1_1
N6.HOG0000071	OG0000007	n125																jl_g22735.t1_1
N6.HOG0000072	OG0000007	n127																jl_g36009.t1_1
N6.HOG0000073	OG0000007	n132																jl_g36032.t1_1
N6.HOG0000074	OG0000007	n145																jl_g24522.t1_1
N6.HOG0000075	OG0000007	n177																jl_g14185.t1_1
N6.HOG0000076	OG0000007	n195																jl_g10026.t1_1
N6.HOG0000077	OG0000007	n199																jl_g15495.t1_1, jl_g14311.t1_1
N6.HOG0000078	OG0000007	n209																jl_g14220.t1_1
N6.HOG0000079	OG0000007	n227																jl_g24727.t1_1
N6.HOG0000080	OG0000007	n229																jl_g23956.t1_1
N6.HOG0000081	OG0000007	n239																jl_g31715.t1_1
N6.HOG0000082	OG0000007	n242																jl_g17988.t2_1, jl_g17988.t1_1
N6.HOG0000083	OG0000007	n250																jl_g26662.t1_1
N6.HOG0000084	OG0000007	n261																jl_g12628.t1_1
N6.HOG0000085	OG0000007	n274																jl_g15744.t1_1
N6.HOG0000086	OG0000007	n281																jl_g30533.t1_1, jl_g30719.t2_1
N6.HOG0000087	OG0000007	n327																jl_g20624.t1_1
N6.HOG0000088	OG0000007	n350																jl_g5955.t1_1
N6.HOG0000089	OG0000007	n399																jl_g25086.t1_1
N6.HOG0000090	OG0000007	n408																jl_g19976.t1_1, jl_g27392.t1_1
N6.HOG0000091	OG0000007	n458																jl_g24294.t1_1
N6.HOG0000092	OG0000007	n459																jl_g27822.t1_1
N6.HOG0000093	OG0000007	n464																jl_g14233.t1_1, jl_g31714.t1_1
N6.HOG0000094	OG0000007	n471																jl_g24705.t1_1
N6.HOG0000095	OG0000007	n480																jl_g23349.t1_1
N6.HOG0000096	OG0000007	n486																jl_g13929.t1_1
N6.HOG0000097	OG0000007	n487																jl_g36033.t1_1
N6.HOG0000098	OG0000007	n494																jl_g29258.t1_1
N6.HOG0000099	OG0000007	n498																jl_g14184.t1_1
N6.HOG0000100	OG0000007	n500																jl_g24726.t1_1
N6.HOG0000101	OG0000007	n515																jl_g7059.t1_1
N6.HOG0000102	OG0000007	n517																jl_g40584.t1_1
N6.HOG0000103	OG0000007	n520																jl_g4615.t1_1, jl_g4332.t1_1, jl_g25151.t1_1
N6.HOG0000104	OG0000007	n528																jl_g4790.t1_1
N6.HOG0000105	OG0000007	n548																jl_g1768.t1_1
N6.HOG0000106	OG0000007	n553																jl_g2057.t1_1
N6.HOG0000107	OG0000007	n554																jl_g1779.t1_1
N6.HOG0000108	OG0000007	n577																jl_g11781.t1_1
N6.HOG0000109	OG0000007	n592																jl_g4614.t1_1
N6.HOG0000110	OG0000007	n664																jl_g9525.t1_1
N6.HOG0000111	OG0000007	n686																jl_g7515.t1_1
N6.HOG0000112	OG0000007	n729																jl_g38209.t1_1
N6.HOG0000113	OG0000007	n753																jl_g5956.t1_1
N6.HOG0000114	OG0000007	n754																jl_g15647.t1_1
N6.HOG0000115	OG0000007	n770																jl_g30533.t2_1, jl_g30719.t1_1
N6.HOG0000116	OG0000007	n792																jl_g39272.t1_1
N6.HOG0000117	OG0000008	n10																jl_g21130.t3_1
N6.HOG0000118	OG0000008	n71																jl_g40049.t1_1
N6.HOG0000119	OG0000008	n83																jl_g21130.t1_1
N6.HOG0000120	OG0000008	n89																jl_g30963.t1_1
N6.HOG0000121	OG0000008	n96																jl_g36989.t1_1
N6.HOG0000122	OG0000008	n104																jl_g24821.t1_1
N6.HOG0000123	OG0000008	n114																jl_g25379.t1_1
N6.HOG0000124	OG0000008	n174																jl_g14351.t1_1
N6.HOG0000125	OG0000008	n186																jl_g29577.t1_1
N6.HOG0000126	OG0000008	n219																jl_g35216.t1_1, jl_g480.t2_1
N6.HOG0000127	OG0000008	n228																jl_g26223.t1_1, jl_g6977.t1_1
N6.HOG0000128	OG0000008	n249																jl_g42332.t1_1
N6.HOG0000129	OG0000008	n257																jl_g21592.t1_1
N6.HOG0000130	OG0000008	n272																jl_g15664.t2_1
N6.HOG0000131	OG0000008	n281																jl_g17169.t1_1
N6.HOG0000132	OG0000008	n298																jl_g16987.t1_1
N6.HOG0000133	OG0000008	n299																jl_g8127.t1_1
N6.HOG0000134	OG0000008	n349																jl_g465.t1_1
N6.HOG0000135	OG0000008	n425																jl_g3434.t1_1, jl_g27149.t1_1
N6.HOG0000136	OG0000008	n455																jl_g8843.t1_1, jl_g772.t1_1, jl_g978.t1_1
N6.HOG0000137	OG0000008	n469																jl_g8020.t1_1
N6.HOG0000138	OG0000008	n480																jl_g7511.t2_1
N6.HOG0000139	OG0000008	n481																jl_g8900.t1_1
N6.HOG0000140	OG0000008	n483																jl_g3711.t1_1
N6.HOG0000141	OG0000008	n509																jl_g37219.t1_1
N6.HOG0000142	OG0000008	n512																jl_g27483.t1_1
N6.HOG0000143	OG0000008	n514																jl_g18554.t1_1
N6.HOG0000144	OG0000008	n515																jl_g9854.t2_1
N6.HOG0000145	OG0000008	n516																jl_g673.t1_1
N6.HOG0000146	OG0000008	n524																jl_g9262.t1_1
N6.HOG0000147	OG0000008	n570																jl_g18554.t2_1
N6.HOG0000148	OG0000008	n597																jl_g31857.t1_1, jl_g10359.t1_1
N6.HOG0000149	OG0000008	n605																jl_g56.t1_1, jl_g40825.t1_1
N6.HOG0000150	OG0000008	n647																jl_g15998.t1_1
N6.HOG0000151	OG0000008	n665																jl_g21130.t2_1
N6.HOG0000152	OG0000008	n708																jl_g6816.t1_1
N6.HOG0000153	OG0000008	n718																jl_g16685.t1_1
N6.HOG0000154	OG0000008	n725																jl_g34582.t1_1
N6.HOG0000155	OG0000008	n744																jl_g7511.t3_1, jl_g26223.t2_1
N6.HOG0000156	OG0000008	n754																jl_g18945.t1_1
N6.HOG0000157	OG0000010	n29																jl_g2045.t1_1
N6.HOG0000158	OG0000010	n63																jl_g16914.t1_1
N6.HOG0000159	OG0000010	n105																jl_g21709.t1_1
N6.HOG0000160	OG0000010	n106																jl_g16842.t1_1
N6.HOG0000161	OG0000010	n113																jl_g24888.t1_1
N6.HOG0000162	OG0000010	n118																jl_g8733.t1_1
N6.HOG0000163	OG0000010	n149																jl_g21710.t1_1
N6.HOG0000164	OG0000010	n158																jl_g16221.t1_1
N6.HOG0000165	OG0000010	n164																jl_g4689.t1_1
N6.HOG0000166	OG0000010	n170																jl_g37956.t1_1
N6.HOG0000167	OG0000010	n171																jl_g8432.t1_1, jl_g13363.t1_1
N6.HOG0000168	OG0000010	n191																jl_g39966.t1_1
N6.HOG0000169	OG0000010	n195																jl_g35345.t1_1
N6.HOG0000170	OG0000010	n230																jl_g22437.t4_1, jl_g22437.t3_1, jl_g4629.t1_1
N6.HOG0000171	OG0000010	n233																jl_g1280.t1_1
N6.HOG0000172	OG0000010	n249																jl_g22730.t1_1, jl_g40445.t1_1
N6.HOG0000173	OG0000010	n251																jl_g22437.t1_1
N6.HOG0000174	OG0000010	n258																jl_g22989.t1_1, jl_g8447.t1_1
N6.HOG0000175	OG0000010	n266																jl_g9557.t1_1
N6.HOG0000176	OG0000010	n269																jl_g32515.t1_1
N6.HOG0000177	OG0000010	n281																jl_g38589.t1_1
N6.HOG0000178	OG0000010	n296																jl_g36985.t1_1
N6.HOG0000179	OG0000010	n360																jl_g9285.t1_1
N6.HOG0000180	OG0000010	n367																jl_g17409.t1_1
N6.HOG0000181	OG0000010	n405																jl_g36.t1_1
N6.HOG0000182	OG0000010	n406																jl_g38795.t1_1
N6.HOG0000183	OG0000010	n427																jl_g14090.t1_1
N6.HOG0000184	OG0000010	n501																jl_g22754.t1_1
N6.HOG0000185	OG0000010	n533																jl_g4618.t1_1
N6.HOG0000186	OG0000010	n540																jl_g1039.t1_1
N6.HOG0000187	OG0000010	n562																jl_g32158.t1_1
N6.HOG0000188	OG0000010	n652																jl_g37979.t1_1
N6.HOG0000189	OG0000010	n663																jl_g1674.t1_1
N6.HOG0000190	OG0000010	n681																jl_g4688.t1_1
N6.HOG0000191	OG0000010	n682																jl_g4608.t1_1
N6.HOG0000192	OG0000010	n687																jl_g23132.t1_1, jl_g37387.t1_1
N6.HOG0000193	OG0000010	n702																jl_g13277.t1_1
N6.HOG0000194	OG0000010	n704																jl_g13320.t1_1
N6.HOG0000195	OG0000010	n714																jl_g35015.t1_1
N6.HOG0000196	OG0000010	n716																jl_g1675.t2_1
N6.HOG0000197	OG0000010	n721																jl_g4408.t1_1
N6.HOG0000198	OG0000010	n730																jl_g43007.t1_1, jl_g29684.t1_1, jl_g33505.t1_1
N6.HOG0000199	OG0000010	n737																jl_g138.t1_1
N6.HOG0000200	OG0000010	n738																jl_g1675.t1_1
N6.HOG0000201	OG0000010	n743																jl_g32058.t1_1
N6.HOG0000202	OG0000010	n744																jl_g1441.t1_1
N6.HOG0000203	OG0000010	n748																jl_g32099.t1_1
N6.HOG0000204	OG0000011	n21																jl_g21630.t1_1
N6.HOG0000205	OG0000011	n36																jl_g7238.t1_1
N6.HOG0000206	OG0000011	n79																jl_g31842.t1_1, jl_g32289.t1_1
N6.HOG0000207	OG0000011	n86																jl_g25713.t1_1
N6.HOG0000208	OG0000011	n90																jl_g21964.t1_1
N6.HOG0000209	OG0000011	n110																jl_g3824.t1_1
N6.HOG0000210	OG0000011	n113																jl_g7910.t1_1
N6.HOG0000211	OG0000011	n130																jl_g17975.t1_1, jl_g12579.t1_1
N6.HOG0000212	OG0000011	n139																jl_g36710.t1_1
N6.HOG0000213	OG0000011	n169																jl_g15728.t1_1
N6.HOG0000214	OG0000011	n170																jl_g17211.t1_1, jl_g37158.t1_1, jl_g35293.t1_1
N6.HOG0000215	OG0000011	n179																jl_g40883.t1_1
N6.HOG0000216	OG0000011	n193																jl_g12579.t3_1
N6.HOG0000217	OG0000011	n202																jl_g19017.t1_1
N6.HOG0000218	OG0000011	n228																jl_g14393.t1_1
N6.HOG0000219	OG0000011	n240																jl_g17210.t1_1
N6.HOG0000220	OG0000011	n249																jl_g37301.t1_1
N6.HOG0000221	OG0000011	n268																jl_g21963.t1_1
N6.HOG0000222	OG0000011	n282																jl_g12579.t2_1
N6.HOG0000223	OG0000011	n287																jl_g42260.t1_1
N6.HOG0000224	OG0000011	n300																jl_g7005.t1_1
N6.HOG0000225	OG0000011	n334																jl_g24483.t1_1
N6.HOG0000226	OG0000011	n442																jl_g17213.t1_1
N6.HOG0000227	OG0000011	n443																jl_g21965.t1_1
N6.HOG0000228	OG0000011	n452																jl_g7004.t1_1
N6.HOG0000229	OG0000011	n461																jl_g36711.t1_1, jl_g22802.t1_1, jl_g22802.t2_1
N6.HOG0000230	OG0000011	n471																jl_g30715.t1_1
N6.HOG0000231	OG0000011	n493																jl_g13576.t2_1
N6.HOG0000232	OG0000011	n502																jl_g24424.t1_1
N6.HOG0000233	OG0000011	n534																jl_g22800.t1_1
N6.HOG0000234	OG0000011	n562																jl_g34523.t1_1
N6.HOG0000235	OG0000011	n586																jl_g7199.t1_1
N6.HOG0000236	OG0000011	n597																jl_g36438.t1_1
N6.HOG0000237	OG0000011	n607																jl_g17974.t1_1, jl_g19016.t1_1
N6.HOG0000238	OG0000011	n624																jl_g37417.t1_1
N6.HOG0000239	OG0000011	n637																jl_g41259.t1_1
N6.HOG0000240	OG0000011	n663																jl_g12578.t1_1
N6.HOG0000241	OG0000011	n669																jl_g37157.t1_1
N6.HOG0000242	OG0000011	n685																jl_g5915.t1_1
N6.HOG0000243	OG0000011	n687																jl_g13576.t1_1, jl_g7909.t1_1
N6.HOG0000244	OG0000011	n706																jl_g2018.t1_1, jl_g36709.t1_1
N6.HOG0000245	OG0000011	n713																jl_g22174.t1_1
N6.HOG0000246	OG0000011	n716																jl_g22801.t1_1, jl_g35292.t1_1
N6.HOG0000247	OG0000011	n732																jl_g7237.t1_1
N6.HOG0000248	OG0000012	n12																jl_g1763.t1_1, jl_g3789.t1_1, jl_g3789.t2_1
N6.HOG0000249	OG0000012	n21																jl_g38563.t1_1
N6.HOG0000250	OG0000012	n43																jl_g36019.t1_1
N6.HOG0000251	OG0000012	n75																jl_g30335.t1_1, jl_g16562.t1_1
N6.HOG0000252	OG0000012	n83																jl_g37246.t1_1
N6.HOG0000253	OG0000012	n88																jl_g36007.t2_1
N6.HOG0000254	OG0000012	n92																jl_g2095.t1_1
N6.HOG0000255	OG0000012	n103																jl_g42773.t2_1
N6.HOG0000256	OG0000012	n118																jl_g26743.t1_1
N6.HOG0000257	OG0000012	n137																jl_g7159.t1_1
N6.HOG0000258	OG0000012	n138																jl_g13530.t1_1
N6.HOG0000259	OG0000012	n175																jl_g9389.t1_1
N6.HOG0000260	OG0000012	n186																jl_g14430.t3_1
N6.HOG0000261	OG0000012	n208																jl_g36633.t1_1
N6.HOG0000262	OG0000012	n220																jl_g9390.t1_1
N6.HOG0000263	OG0000012	n223																jl_g18825.t1_1, jl_g13171.t1_1
N6.HOG0000264	OG0000012	n247																jl_g27854.t2_1, jl_g27854.t1_1
N6.HOG0000265	OG0000012	n257																jl_g10032.t1_1
N6.HOG0000266	OG0000012	n274																jl_g18722.t1_1
N6.HOG0000267	OG0000012	n281																jl_g23055.t1_1
N6.HOG0000268	OG0000012	n283																jl_g28588.t1_1
N6.HOG0000269	OG0000012	n300																jl_g16251.t1_1
N6.HOG0000270	OG0000012	n304																jl_g1764.t1_1
N6.HOG0000271	OG0000012	n338																jl_g21617.t2_1
N6.HOG0000272	OG0000012	n375																jl_g38611.t1_1
N6.HOG0000273	OG0000012	n382																jl_g28240.t1_1
N6.HOG0000274	OG0000012	n395															W103_g5591.t1_1	jl_g17696.t1_1
N6.HOG0000275	OG0000012	n426																jl_g28807.t1_1
N6.HOG0000276	OG0000012	n428																jl_g28807.t2_1
N6.HOG0000277	OG0000012	n433																jl_g22000.t1_1
N6.HOG0000278	OG0000012	n490																jl_g9717.t1_1
N6.HOG0000279	OG0000012	n509																jl_g17696.t2_1
N6.HOG0000280	OG0000012	n530															W103_g5053.t1_1	
N6.HOG0000281	OG0000012	n602																jl_g2395.t2_1, jl_g2395.t1_1
N6.HOG0000282	OG0000012	n614																jl_g40301.t1_1
N6.HOG0000283	OG0000012	n626																jl_g34407.t2_1
N6.HOG0000284	OG0000012	n629																jl_g24224.t1_1
N6.HOG0000285	OG0000012	n630																jl_g18144.t1_1
N6.HOG0000286	OG0000012	n634															W103_g1439.t1_1	
N6.HOG0000287	OG0000012	n652																jl_g9716.t1_1
N6.HOG0000288	OG0000012	n662																jl_g16252.t3_1
N6.HOG0000289	OG0000012	n672																jl_g16252.t1_1
N6.HOG0000290	OG0000012	n677																jl_g16252.t2_1, jl_g42584.t1_1
