HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N11.HOG0000000	OG0000002	n14						HO40_23xERB_hirisehap1_g25427.t1_1										
N11.HOG0000001	OG0000002	n17					ERB_F3_g14889.t1_1											
N11.HOG0000002	OG0000002	n20						HO40_23xERB_hirisehap1_g13018.t1_1										
N11.HOG0000003	OG0000002	n27					ERB_F3_g15189.t1_1											
N11.HOG0000004	OG0000002	n32					ERB_F3_g24450.t1_1	HO40_23xERB_hirisehap1_g33703.t1_1										
N11.HOG0000005	OG0000002	n43						HO40_23xERB_hirisehap1_g28037.t1_1										
N11.HOG0000006	OG0000002	n49						HO40_23xERB_hirisehap1_g32109.t1_1										
N11.HOG0000007	OG0000002	n61					ERB_F3_g14575.t1_1	HO40_23xERB_hirisehap1_g12598.t1_1										
N11.HOG0000008	OG0000002	n63						HO40_23xERB_hirisehap1_g31273.t1_1										
N11.HOG0000009	OG0000002	n65					ERB_F3_g7733.t1_1	HO40_23xERB_hirisehap1_g34300.t1_1										
N11.HOG0000010	OG0000002	n69						HO40_23xERB_hirisehap1_g13172.t1_1										
N11.HOG0000011	OG0000002	n79						HO40_23xERB_hirisehap1_g2745.t1_1										
N11.HOG0000012	OG0000002	n84					ERB_F3_g1674.t1_1											
N11.HOG0000013	OG0000002	n91						HO40_23xERB_hirisehap1_g3437.t1_1										
N11.HOG0000014	OG0000002	n94					ERB_F3_g14211.t1_1											
N11.HOG0000015	OG0000002	n110						HO40_23xERB_hirisehap1_g31577.t1_1, HO40_23xERB_hirisehap1_g31577.t2_1										
N11.HOG0000016	OG0000002	n116					ERB_F3_g3414.t1_1											
N11.HOG0000017	OG0000002	n117					ERB_F3_g39148.t1_1	HO40_23xERB_hirisehap1_g19940.t1_1										
N11.HOG0000018	OG0000002	n120					ERB_F3_g971.t1_1, ERB_F3_g32352.t1_1											
N11.HOG0000019	OG0000002	n146					ERB_F3_g7904.t1_1											
N11.HOG0000020	OG0000002	n150						HO40_23xERB_hirisehap1_g28153.t2_1, HO40_23xERB_hirisehap1_g28153.t1_1										
N11.HOG0000021	OG0000002	n172						HO40_23xERB_hirisehap1_g32031.t1_1										
N11.HOG0000022	OG0000002	n174						HO40_23xERB_hirisehap1_g28288.t1_1										
N11.HOG0000023	OG0000002	n176						HO40_23xERB_hirisehap1_g12631.t1_1										
N11.HOG0000024	OG0000002	n178					ERB_F3_g1067.t1_1											
N11.HOG0000025	OG0000002	n187					ERB_F3_g2702.t1_1	HO40_23xERB_hirisehap1_g18063.t1_1										
N11.HOG0000026	OG0000002	n190					ERB_F3_g1374.t1_1	HO40_23xERB_hirisehap1_g31315.t1_1										
N11.HOG0000027	OG0000002	n199						HO40_23xERB_hirisehap1_g33635.t1_1										
N11.HOG0000028	OG0000002	n202						HO40_23xERB_hirisehap1_g31119.t1_1, HO40_23xERB_hirisehap1_g34116.t1_1, HO40_23xERB_hirisehap1_g17508.t1_1, HO40_23xERB_hirisehap1_g24447.t1_1										
N11.HOG0000029	OG0000002	n209						HO40_23xERB_hirisehap1_g21198.t1_1										
N11.HOG0000030	OG0000002	n222						HO40_23xERB_hirisehap1_g27021.t1_1										
N11.HOG0000031	OG0000002	n238						HO40_23xERB_hirisehap1_g25682.t1_1										
N11.HOG0000032	OG0000002	n245						HO40_23xERB_hirisehap1_g28130.t1_1, HO40_23xERB_hirisehap1_g24667.t1_1										
N11.HOG0000033	OG0000002	n250						HO40_23xERB_hirisehap1_g17258.t1_1, HO40_23xERB_hirisehap1_g20569.t1_1										
N11.HOG0000034	OG0000002	n254					ERB_F3_g24770.t1_1											
N11.HOG0000035	OG0000002	n255					ERB_F3_g33315.t1_1	HO40_23xERB_hirisehap1_g20812.t1_1										
N11.HOG0000036	OG0000002	n274					ERB_F3_g13321.t1_1, ERB_F3_g33073.t1_1											
N11.HOG0000037	OG0000002	n277					ERB_F3_g1352.t1_1	HO40_23xERB_hirisehap1_g31308.t1_1										
N11.HOG0000038	OG0000002	n284					ERB_F3_g34353.t1_1											
N11.HOG0000039	OG0000002	n305						HO40_23xERB_hirisehap1_g3743.t1_1										
N11.HOG0000040	OG0000002	n309					ERB_F3_g33786.t1_1											
N11.HOG0000041	OG0000002	n315					ERB_F3_g2652.t1_1											
N11.HOG0000042	OG0000002	n321					ERB_F3_g18350.t1_1	HO40_23xERB_hirisehap1_g34285.t1_1, HO40_23xERB_hirisehap1_g24733.t1_1, HO40_23xERB_hirisehap1_g12856.t1_1										
N11.HOG0000043	OG0000002	n349						HO40_23xERB_hirisehap1_g2641.t1_1										
N11.HOG0000044	OG0000002	n351						HO40_23xERB_hirisehap1_g28598.t1_1										
N11.HOG0000045	OG0000002	n356						HO40_23xERB_hirisehap1_g1489.t1_1										
N11.HOG0000046	OG0000002	n361						HO40_23xERB_hirisehap1_g9277.t1_1										
N11.HOG0000047	OG0000002	n367						HO40_23xERB_hirisehap1_g20619.t1_1										
N11.HOG0000048	OG0000002	n379						HO40_23xERB_hirisehap1_g28569.t1_1										
N11.HOG0000049	OG0000002	n387						HO40_23xERB_hirisehap1_g24668.t1_1										
N11.HOG0000050	OG0000002	n394						HO40_23xERB_hirisehap1_g25025.t1_1										
N11.HOG0000051	OG0000002	n402						HO40_23xERB_hirisehap1_g20737.t1_1										
N11.HOG0000052	OG0000002	n403						HO40_23xERB_hirisehap1_g31111.t1_1										
N11.HOG0000053	OG0000002	n412					ERB_F3_g7750.t1_1											
N11.HOG0000054	OG0000002	n474					ERB_F3_g5252.t1_1											
N11.HOG0000055	OG0000002	n485					ERB_F3_g4289.t1_1, ERB_F3_g4290.t1_1	HO40_23xERB_hirisehap1_g2695.t1_1										
N11.HOG0000056	OG0000002	n524						HO40_23xERB_hirisehap1_g17315.t1_1										
N11.HOG0000057	OG0000002	n532					ERB_F3_g3706.t1_1											
N11.HOG0000058	OG0000002	n534						HO40_23xERB_hirisehap1_g711.t1_1, HO40_23xERB_hirisehap1_g33486.t1_1										
N11.HOG0000059	OG0000002	n549					ERB_F3_g33965.t1_1, ERB_F3_g3552.t1_1											
N11.HOG0000060	OG0000002	n556					ERB_F3_g39430.t1_1											
N11.HOG0000061	OG0000002	n560					ERB_F3_g33290.t1_1											
N11.HOG0000062	OG0000002	n561					ERB_F3_g15611.t1_1, ERB_F3_g19983.t1_1											
N11.HOG0000063	OG0000002	n564					ERB_F3_g908.t1_1											
N11.HOG0000064	OG0000002	n568					ERB_F3_g13205.t1_1											
N11.HOG0000065	OG0000002	n572					ERB_F3_g29194.t1_1											
N11.HOG0000066	OG0000002	n574						HO40_23xERB_hirisehap1_g33475.t1_1										
N11.HOG0000067	OG0000002	n575						HO40_23xERB_hirisehap1_g31753.t1_1										
N11.HOG0000068	OG0000002	n576						HO40_23xERB_hirisehap1_g31932.t1_1										
N11.HOG0000069	OG0000002	n597					ERB_F3_g3797.t1_1											
N11.HOG0000070	OG0000002	n601					ERB_F3_g16657.t1_1											
N11.HOG0000071	OG0000002	n602					ERB_F3_g18558.t1_1											
N11.HOG0000072	OG0000002	n603						HO40_23xERB_hirisehap1_g3420.t1_1										
N11.HOG0000073	OG0000002	n604						HO40_23xERB_hirisehap1_g3796.t1_1										
