HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N13.HOG0000000	OG0000002	n14											JL_Mother_g4393.t1_1					
N13.HOG0000001	OG0000002	n17										I3_g39364.t1_1						
N13.HOG0000002	OG0000002	n19											JL_Mother_g4484.t1_1					
N13.HOG0000003	OG0000002	n20										I3_g7673.t1_1	JL_Mother_g11116.t1_1					
N13.HOG0000004	OG0000002	n27										I3_g18483.t1_1						
N13.HOG0000005	OG0000002	n43											JL_Mother_g5814.t1_1					
N13.HOG0000006	OG0000002	n49										I3_g7903.t1_1						
N13.HOG0000007	OG0000002	n63											JL_Mother_g20207.t1_1					
N13.HOG0000008	OG0000002	n65										I3_g14818.t1_1						
N13.HOG0000009	OG0000002	n69										I3_g11453.t1_1, I3_g3193.t1_1						
N13.HOG0000010	OG0000002	n79											JL_Mother_g36855.t1_1, JL_Mother_g8325.t1_1					
N13.HOG0000011	OG0000002	n94										I3_g16791.t1_1						
N13.HOG0000012	OG0000002	n101										I3_g471.t1_1, I3_g21374.t1_1						
N13.HOG0000013	OG0000002	n103										I3_g13655.t1_1						
N13.HOG0000014	OG0000002	n105										I3_g36495.t1_1						
N13.HOG0000015	OG0000002	n110										I3_g32882.t1_1	JL_Mother_g8501.t1_1					
N13.HOG0000016	OG0000002	n113											JL_Mother_g24476.t1_1					
N13.HOG0000017	OG0000002	n117											JL_Mother_g29091.t1_1					
N13.HOG0000018	OG0000002	n129											JL_Mother_g4709.t1_1					
N13.HOG0000019	OG0000002	n130											JL_Mother_g5249.t1_1					
N13.HOG0000020	OG0000002	n132											JL_Mother_g24383.t1_1, JL_Mother_g5875.t1_1					
N13.HOG0000021	OG0000002	n150										I3_g4089.t1_1	JL_Mother_g8882.t1_1, JL_Mother_g3272.t1_1					
N13.HOG0000022	OG0000002	n178										I3_g140.t1_1, I3_g140.t2_1						
N13.HOG0000023	OG0000002	n199											JL_Mother_g29629.t1_1					
N13.HOG0000024	OG0000002	n202										I3_g6146.t1_1						
N13.HOG0000025	OG0000002	n210											JL_Mother_g18362.t1_1					
N13.HOG0000026	OG0000002	n222										I3_g27990.t1_1, I3_g2884.t1_1						
N13.HOG0000027	OG0000002	n228											JL_Mother_g19889.t1_1, JL_Mother_g28538.t1_1					
N13.HOG0000028	OG0000002	n238										I3_g22575.t1_1						
N13.HOG0000029	OG0000002	n242										I3_g300.t1_1						
N13.HOG0000030	OG0000002	n245										I3_g39117.t1_1	JL_Mother_g2213.t1_1					
N13.HOG0000031	OG0000002	n249										I3_g2980.t1_1						
N13.HOG0000032	OG0000002	n250											JL_Mother_g1625.t1_1					
