HOG	OG	Gene Tree Parent Clade	CBDRx	CBDRx_proteins	Cannbio-2_proteins	Cascade	ERB_F3_proteins	ERBxHO40_23_hirisehap1_proteins	ERBxHO40_23_hirisehap2_proteins	Finola_proteins	HO40_proteins	I3_proteins	JL_Mother_proteins	Parasponia_andersonii	Purple_Kush_proteins	Trema_orientale	W103_proteins	jl_proteins
N14.HOG0000000	OG0000002	n14		CBDRx_g11820.t1_1														
N14.HOG0000001	OG0000002	n19		CBDRx_g18224.t1_1														
N14.HOG0000002	OG0000002	n27		CBDRx_g2750.t1_1														
N14.HOG0000003	OG0000002	n32		CBDRx_g14478.t1_1, CBDRx_g11760.t1_1, CBDRx_g27499.t1_1, CBDRx_g12173.t1_1, CBDRx_g21422.t1_1														
N14.HOG0000004	OG0000002	n41		CBDRx_g14086.t1_1														
N14.HOG0000005	OG0000002	n108		CBDRx_g25231.t1_1														
N14.HOG0000006	OG0000002	n113		CBDRx_g20669.t1_1														
N14.HOG0000007	OG0000002	n116		CBDRx_g11169.t1_1														
N14.HOG0000008	OG0000002	n117		CBDRx_g6747.t1_1														
N14.HOG0000009	OG0000002	n129		CBDRx_g11610.t1_1														
N14.HOG0000010	OG0000002	n136		CBDRx_g3188.t1_1														
N14.HOG0000011	OG0000002	n137		CBDRx_g14793.t1_1														
N14.HOG0000012	OG0000002	n150	XP_030504556.1	CBDRx_g2466.t1_1, CBDRx_g13595.t1_1														
N14.HOG0000013	OG0000002	n163		CBDRx_g6233.t1_1, CBDRx_g32295.t1_1														
N14.HOG0000014	OG0000002	n210	XP_030504947.1															
N14.HOG0000015	OG0000002	n330		CBDRx_g24737.t1_1, CBDRx_g6591.t1_1														
N14.HOG0000016	OG0000002	n337		CBDRx_g29879.t1_1														
N14.HOG0000017	OG0000002	n344		CBDRx_g14280.t1_1														
N14.HOG0000018	OG0000002	n355		CBDRx_g32486.t1_1														
N14.HOG0000019	OG0000002	n356		CBDRx_g21307.t1_1														
N14.HOG0000020	OG0000002	n379		CBDRx_g10055.t1_1														
N14.HOG0000021	OG0000002	n414		CBDRx_g19719.t1_1, CBDRx_g19719.t2_1, CBDRx_g27640.t1_1														
N14.HOG0000022	OG0000002	n438		CBDRx_g6532.t1_1														
N14.HOG0000023	OG0000002	n442		CBDRx_g6900.t1_1														
N14.HOG0000024	OG0000002	n450		CBDRx_g3124.t1_1														
N14.HOG0000025	OG0000002	n454		CBDRx_g30370.t1_1														
N14.HOG0000026	OG0000002	n836		CBDRx_g25232.t1_1														
N14.HOG0000027	OG0000002	n840		CBDRx_g14000.t1_1														
N14.HOG0000028	OG0000002	n841		CBDRx_g11559.t1_1														
N14.HOG0000029	OG0000002	n848		CBDRx_g18878.t1_1														
N14.HOG0000030	OG0000002	n852		CBDRx_g14841.t1_1														
N14.HOG0000031	OG0000002	n926		CBDRx_g2373.t1_1, CBDRx_g18163.t1_1														
N14.HOG0000032	OG0000002	n949	XP_030483456.1															
N14.HOG0000033	OG0000002	n957	XP_030497834.1															
N14.HOG0000034	OG0000002	n959	XP_030502678.1, XP_030494767.1, XP_030479481.1	CBDRx_g17904.t1_1														
N14.HOG0000035	OG0000002	n1038		CBDRx_g6230.t1_1														
N14.HOG0000036	OG0000002	n1039		CBDRx_g26767.t1_1														
N14.HOG0000037	OG0000002	n1042	XP_030502660.1															
N14.HOG0000038	OG0000002	n1048	XP_030478220.1															
N14.HOG0000039	OG0000002	n1050	XP_030483213.1															
N14.HOG0000040	OG0000002	n1051	XP_030494896.1	CBDRx_g11203.t1_1														
N14.HOG0000041	OG0000007	n9		CBDRx_g14845.t1_1														
N14.HOG0000042	OG0000007	n17		CBDRx_g31651.t1_1														
N14.HOG0000043	OG0000007	n40	XP_030479514.1															
N14.HOG0000044	OG0000007	n44	XP_030502840.1, XP_030477943.1															
N14.HOG0000045	OG0000007	n49	XP_030483374.1															
N14.HOG0000046	OG0000007	n54	XP_030486823.1															
N14.HOG0000047	OG0000007	n81	XP_030493875.1															
N14.HOG0000048	OG0000007	n112	XP_030492910.1															
N14.HOG0000049	OG0000007	n137	XP_030485696.1															
N14.HOG0000050	OG0000007	n153		CBDRx_g19967.t1_1														
N14.HOG0000051	OG0000007	n171		CBDRx_g32695.t1_1														
N14.HOG0000052	OG0000007	n209	XP_030507830.1															
N14.HOG0000053	OG0000007	n229	XP_030479078.1															
N14.HOG0000054	OG0000007	n259	XP_030498002.1															
N14.HOG0000055	OG0000007	n283		CBDRx_g3980.t1_1														
N14.HOG0000056	OG0000007	n297		CBDRx_g18270.t1_1														
N14.HOG0000057	OG0000007	n310		CBDRx_g30743.t1_1														
N14.HOG0000058	OG0000007	n319		CBDRx_g13394.t1_1														
N14.HOG0000059	OG0000007	n337	XP_030502535.1															
N14.HOG0000060	OG0000007	n350	XP_030478367.1	CBDRx_g711.t1_1														
N14.HOG0000061	OG0000007	n364		CBDRx_g28516.t1_1														
N14.HOG0000062	OG0000007	n367		CBDRx_g4690.t1_1														
N14.HOG0000063	OG0000007	n390		CBDRx_g22704.t1_1														
N14.HOG0000064	OG0000007	n392		CBDRx_g19496.t1_1														
N14.HOG0000065	OG0000007	n395		CBDRx_g33694.t1_1														
N14.HOG0000066	OG0000007	n399		CBDRx_g28182.t1_1														
N14.HOG0000067	OG0000007	n451	XP_030493874.1	CBDRx_g11716.t1_1														
N14.HOG0000068	OG0000007	n480	XP_030502729.1															
N14.HOG0000069	OG0000007	n513		CBDRx_g14223.t1_1														
N14.HOG0000070	OG0000007	n520	XP_030499341.1															
N14.HOG0000071	OG0000007	n529	XP_030505199.1															
N14.HOG0000072	OG0000007	n532		CBDRx_g19968.t1_1														
N14.HOG0000073	OG0000007	n621		CBDRx_g28176.t1_1														
N14.HOG0000074	OG0000007	n652	XP_030492909.1															
N14.HOG0000075	OG0000007	n664		CBDRx_g13813.t1_1														
N14.HOG0000076	OG0000007	n712		CBDRx_g20897.t1_1														
N14.HOG0000077	OG0000007	n715	XP_030502684.1, XP_030477867.1, XP_030487226.1															
N14.HOG0000078	OG0000007	n719	XP_030487573.1															
N14.HOG0000079	OG0000007	n733	XP_030503823.1, XP_030504895.1															
N14.HOG0000080	OG0000007	n746		CBDRx_g9022.t1_1														
N14.HOG0000081	OG0000007	n766		CBDRx_g712.t1_1														
N14.HOG0000082	OG0000007	n767		CBDRx_g15700.t1_1														
N14.HOG0000083	OG0000007	n781		CBDRx_g30744.t1_1														
N14.HOG0000084	OG0000007	n795	XP_030497562.1															
N14.HOG0000085	OG0000007	n801	XP_030500753.1, XP_030494683.1															
N14.HOG0000086	OG0000007	n806	XP_030478354.1															
N14.HOG0000087	OG0000008	n114	XP_030509078.1															
